Comunidades autónomas	Tipo de dato	Periodo	Total
01 Andalucía	Tasa de variación acumulada	2017M06	9,81
01 Andalucía	Tasa de variación acumulada	2017M05	9,7
01 Andalucía	Tasa de variación acumulada	2017M04	10,55
01 Andalucía	Tasa de variación acumulada	2017M03	12,06
01 Andalucía	Tasa de variación acumulada	2017M02	16,88
01 Andalucía	Tasa de variación acumulada	2017M01	15,12
01 Andalucía	Tasa de variación acumulada	2016M12	13,41
01 Andalucía	Tasa de variación acumulada	2016M11	13,53
01 Andalucía	Tasa de variación acumulada	2016M10	13,6
01 Andalucía	Tasa de variación acumulada	2016M09	14,11
01 Andalucía	Tasa de variación acumulada	2016M08	14,6
01 Andalucía	Tasa de variación acumulada	2016M07	16,85
01 Andalucía	Tasa de variación acumulada	2016M06	18,36
01 Andalucía	Tasa de variación acumulada	2016M05	19,28
01 Andalucía	Tasa de variación acumulada	2016M04	21,14
01 Andalucía	Tasa de variación acumulada	2016M03	24,66
01 Andalucía	Tasa de variación acumulada	2016M02	21,13
01 Andalucía	Tasa de variación acumulada	2016M01	21,63
01 Andalucía	Tasa de variación acumulada	2015M12	""
01 Andalucía	Tasa de variación acumulada	2015M11	""
01 Andalucía	Tasa de variación acumulada	2015M10	""
04 Balears, Illes	Dato base	2021M09	1.167.388
04 Balears, Illes	Dato base	2021M08	1.307.422
04 Balears, Illes	Dato base	2021M07	1.320.144
04 Balears, Illes	Dato base	2021M06	656.082
04 Balears, Illes	Dato base	2021M05	380.882
04 Balears, Illes	Dato base	2021M04	124.674
04 Balears, Illes	Dato base	2021M03	65.661
04 Balears, Illes	Dato base	2021M02	13.149
04 Balears, Illes	Dato base	2021M01	15.166
04 Balears, Illes	Dato base	2020M12	22.099
04 Balears, Illes	Dato base	2020M11	20.103
04 Balears, Illes	Dato base	2020M10	84.194
04 Balears, Illes	Dato base	2020M09	119.145
04 Balears, Illes	Dato base	2020M08	453.636
04 Balears, Illes	Dato base	2020M07	588.448
04 Balears, Illes	Dato base	2020M06	28.388
04 Balears, Illes	Dato base	2020M05	0
04 Balears, Illes	Dato base	2020M04	0
04 Balears, Illes	Dato base	2020M03	115.784
04 Balears, Illes	Dato base	2020M02	185.554
04 Balears, Illes	Dato base	2020M01	103.772
04 Balears, Illes	Dato base	2019M12	124.847
04 Balears, Illes	Dato base	2019M11	182.713
04 Balears, Illes	Dato base	2019M10	1.224.498
04 Balears, Illes	Dato base	2019M09	2.006.475
04 Balears, Illes	Dato base	2019M08	2.256.991
04 Balears, Illes	Dato base	2019M07	2.344.094
04 Balears, Illes	Dato base	2019M06	2.065.353
04 Balears, Illes	Dato base	2019M05	1.701.167
04 Balears, Illes	Dato base	2019M04	1.081.557
04 Balears, Illes	Dato base	2019M03	365.813
04 Balears, Illes	Dato base	2019M02	184.351
04 Balears, Illes	Dato base	2019M01	141.922
04 Balears, Illes	Dato base	2018M12	183.329
04 Balears, Illes	Dato base	2018M11	188.018
04 Balears, Illes	Dato base	2018M10	1.284.111
04 Balears, Illes	Dato base	2018M09	2.031.600
04 Balears, Illes	Dato base	2018M08	2.297.469
04 Balears, Illes	Dato base	2018M07	2.429.816
04 Balears, Illes	Dato base	2018M06	2.121.434
04 Balears, Illes	Dato base	2018M05	1.708.101
04 Balears, Illes	Dato base	2018M04	930.679
04 Balears, Illes	Dato base	2018M03	401.293
04 Balears, Illes	Dato base	2018M02	156.311
04 Balears, Illes	Dato base	2018M01	119.437
04 Balears, Illes	Dato base	2017M12	99.275
04 Balears, Illes	Dato base	2017M11	177.426
04 Balears, Illes	Dato base	2017M10	1.256.543
04 Balears, Illes	Dato base	2017M09	2.009.288
04 Balears, Illes	Dato base	2017M08	2.352.198
04 Balears, Illes	Dato base	2017M07	2.484.880
04 Balears, Illes	Dato base	2017M06	2.101.520
04 Balears, Illes	Dato base	2017M05	1.717.352
04 Balears, Illes	Dato base	2017M04	998.445
04 Balears, Illes	Dato base	2017M03	325.442
04 Balears, Illes	Dato base	2017M02	162.771
04 Balears, Illes	Dato base	2017M01	107.156
04 Balears, Illes	Dato base	2016M12	101.338
04 Balears, Illes	Dato base	2016M11	152.665
04 Balears, Illes	Dato base	2016M10	1.242.445
04 Balears, Illes	Dato base	2016M09	1.861.414
04 Balears, Illes	Dato base	2016M08	2.292.425
04 Balears, Illes	Dato base	2016M07	2.359.490
04 Balears, Illes	Dato base	2016M06	1.945.565
04 Balears, Illes	Dato base	2016M05	1.612.832
04 Balears, Illes	Dato base	2016M04	770.338
04 Balears, Illes	Dato base	2016M03	391.922
04 Balears, Illes	Dato base	2016M02	164.735
04 Balears, Illes	Dato base	2016M01	102.379
04 Balears, Illes	Dato base	2015M12	95.914
04 Balears, Illes	Dato base	2015M11	125.595
04 Balears, Illes	Dato base	2015M10	991.830
04 Balears, Illes	Tasa de variación anual	2021M09	879,8
04 Balears, Illes	Tasa de variación anual	2021M08	188,21
04 Balears, Illes	Tasa de variación anual	2021M07	124,34
04 Balears, Illes	Tasa de variación anual	2021M06	2.211,09
04 Balears, Illes	Tasa de variación anual	2021M05	..
04 Balears, Illes	Tasa de variación anual	2021M04	..
04 Balears, Illes	Tasa de variación anual	2021M03	-43,29
04 Balears, Illes	Tasa de variación anual	2021M02	-92,91
04 Balears, Illes	Tasa de variación anual	2021M01	-85,39
04 Balears, Illes	Tasa de variación anual	2020M12	-82,3
04 Balears, Illes	Tasa de variación anual	2020M11	-89
04 Balears, Illes	Tasa de variación anual	2020M10	-93,12
04 Balears, Illes	Tasa de variación anual	2020M09	-94,06
04 Balears, Illes	Tasa de variación anual	2020M08	-79,9
04 Balears, Illes	Tasa de variación anual	2020M07	-74,9
04 Balears, Illes	Tasa de variación anual	2020M06	-98,63
04 Balears, Illes	Tasa de variación anual	2020M05	-100
04 Balears, Illes	Tasa de variación anual	2020M04	-100
04 Balears, Illes	Tasa de variación anual	2020M03	-68,35
04 Balears, Illes	Tasa de variación anual	2020M02	0,65
04 Balears, Illes	Tasa de variación anual	2020M01	-26,88
04 Balears, Illes	Tasa de variación anual	2019M12	-31,9
04 Balears, Illes	Tasa de variación anual	2019M11	-2,82
04 Balears, Illes	Tasa de variación anual	2019M10	-4,64
04 Balears, Illes	Tasa de variación anual	2019M09	-1,24
04 Balears, Illes	Tasa de variación anual	2019M08	-1,76
04 Balears, Illes	Tasa de variación anual	2019M07	-3,53
04 Balears, Illes	Tasa de variación anual	2019M06	-2,64
04 Balears, Illes	Tasa de variación anual	2019M05	-0,41
04 Balears, Illes	Tasa de variación anual	2019M04	16,21
04 Balears, Illes	Tasa de variación anual	2019M03	-8,84
04 Balears, Illes	Tasa de variación anual	2019M02	17,94
04 Balears, Illes	Tasa de variación anual	2019M01	18,83
04 Balears, Illes	Tasa de variación anual	2018M12	84,67
04 Balears, Illes	Tasa de variación anual	2018M11	5,97
04 Balears, Illes	Tasa de variación anual	2018M10	2,19
04 Balears, Illes	Tasa de variación anual	2018M09	1,11
04 Balears, Illes	Tasa de variación anual	2018M08	-2,33
04 Balears, Illes	Tasa de variación anual	2018M07	-2,22
04 Balears, Illes	Tasa de variación anual	2018M06	0,95
04 Balears, Illes	Tasa de variación anual	2018M05	-0,54
04 Balears, Illes	Tasa de variación anual	2018M04	-6,79
04 Balears, Illes	Tasa de variación anual	2018M03	23,31
04 Balears, Illes	Tasa de variación anual	2018M02	-3,97
04 Balears, Illes	Tasa de variación anual	2018M01	11,46
04 Balears, Illes	Tasa de variación anual	2017M12	-2,04
04 Balears, Illes	Tasa de variación anual	2017M11	16,22
04 Balears, Illes	Tasa de variación anual	2017M10	1,13
04 Balears, Illes	Tasa de variación anual	2017M09	7,94
04 Balears, Illes	Tasa de variación anual	2017M08	2,61
04 Balears, Illes	Tasa de variación anual	2017M07	5,31
04 Balears, Illes	Tasa de variación anual	2017M06	8,02
04 Balears, Illes	Tasa de variación anual	2017M05	6,48
04 Balears, Illes	Tasa de variación anual	2017M04	29,61
04 Balears, Illes	Tasa de variación anual	2017M03	-16,96
04 Balears, Illes	Tasa de variación anual	2017M02	-1,19
04 Balears, Illes	Tasa de variación anual	2017M01	4,67
04 Balears, Illes	Tasa de variación anual	2016M12	5,66
04 Balears, Illes	Tasa de variación anual	2016M11	21,55
04 Balears, Illes	Tasa de variación anual	2016M10	25,27
04 Balears, Illes	Tasa de variación anual	2016M09	9,14
04 Balears, Illes	Tasa de variación anual	2016M08	2,57
04 Balears, Illes	Tasa de variación anual	2016M07	12,3
04 Balears, Illes	Tasa de variación anual	2016M06	12,13
04 Balears, Illes	Tasa de variación anual	2016M05	9,76
04 Balears, Illes	Tasa de variación anual	2016M04	10,47
04 Balears, Illes	Tasa de variación anual	2016M03	43,3
04 Balears, Illes	Tasa de variación anual	2016M02	35,36
04 Balears, Illes	Tasa de variación anual	2016M01	-3,68
04 Balears, Illes	Tasa de variación anual	2015M12	0,7
04 Balears, Illes	Tasa de variación anual	2015M11	-8,44
04 Balears, Illes	Tasa de variación anual	2015M10	4,02
04 Balears, Illes	Acumulado en lo que va de año	2021M09	5.050.567
04 Balears, Illes	Acumulado en lo que va de año	2021M08	3.883.179
04 Balears, Illes	Acumulado en lo que va de año	2021M07	2.575.757
04 Balears, Illes	Acumulado en lo que va de año	2021M06	1.255.613
04 Balears, Illes	Acumulado en lo que va de año	2021M05	599.531
04 Balears, Illes	Acumulado en lo que va de año	2021M04	218.649
04 Balears, Illes	Acumulado en lo que va de año	2021M03	93.976
04 Balears, Illes	Acumulado en lo que va de año	2021M02	28.315
04 Balears, Illes	Acumulado en lo que va de año	2021M01	15.166
04 Balears, Illes	Acumulado en lo que va de año	2020M12	1.721.123
04 Balears, Illes	Acumulado en lo que va de año	2020M11	1.699.025
04 Balears, Illes	Acumulado en lo que va de año	2020M10	1.678.922
04 Balears, Illes	Acumulado en lo que va de año	2020M09	1.594.728
04 Balears, Illes	Acumulado en lo que va de año	2020M08	1.475.582
04 Balears, Illes	Acumulado en lo que va de año	2020M07	1.021.946
04 Balears, Illes	Acumulado en lo que va de año	2020M06	433.498
04 Balears, Illes	Acumulado en lo que va de año	2020M05	405.110
04 Balears, Illes	Acumulado en lo que va de año	2020M04	405.110
04 Balears, Illes	Acumulado en lo que va de año	2020M03	405.110
04 Balears, Illes	Acumulado en lo que va de año	2020M02	289.326
04 Balears, Illes	Acumulado en lo que va de año	2020M01	103.772
04 Balears, Illes	Acumulado en lo que va de año	2019M12	13.679.781
04 Balears, Illes	Acumulado en lo que va de año	2019M11	13.554.933
04 Balears, Illes	Acumulado en lo que va de año	2019M10	13.372.221
04 Balears, Illes	Acumulado en lo que va de año	2019M09	12.147.723
04 Balears, Illes	Acumulado en lo que va de año	2019M08	10.141.248
04 Balears, Illes	Acumulado en lo que va de año	2019M07	7.884.256
04 Balears, Illes	Acumulado en lo que va de año	2019M06	5.540.162
04 Balears, Illes	Acumulado en lo que va de año	2019M05	3.474.810
04 Balears, Illes	Acumulado en lo que va de año	2019M04	1.773.643
04 Balears, Illes	Acumulado en lo que va de año	2019M03	692.086
04 Balears, Illes	Acumulado en lo que va de año	2019M02	326.273
04 Balears, Illes	Acumulado en lo que va de año	2019M01	141.922
04 Balears, Illes	Acumulado en lo que va de año	2018M12	13.851.598
04 Balears, Illes	Acumulado en lo que va de año	2018M11	13.668.269
04 Balears, Illes	Acumulado en lo que va de año	2018M10	13.480.250
04 Balears, Illes	Acumulado en lo que va de año	2018M09	12.196.140
04 Balears, Illes	Acumulado en lo que va de año	2018M08	10.164.540
04 Balears, Illes	Acumulado en lo que va de año	2018M07	7.867.071
04 Balears, Illes	Acumulado en lo que va de año	2018M06	5.437.255
04 Balears, Illes	Acumulado en lo que va de año	2018M05	3.315.821
04 Balears, Illes	Acumulado en lo que va de año	2018M04	1.607.720
04 Balears, Illes	Acumulado en lo que va de año	2018M03	677.041
04 Balears, Illes	Acumulado en lo que va de año	2018M02	275.748
04 Balears, Illes	Acumulado en lo que va de año	2018M01	119.437
04 Balears, Illes	Acumulado en lo que va de año	2017M12	13.792.296
04 Balears, Illes	Acumulado en lo que va de año	2017M11	13.693.021
04 Balears, Illes	Acumulado en lo que va de año	2017M10	13.515.595
04 Balears, Illes	Acumulado en lo que va de año	2017M09	12.259.052
04 Balears, Illes	Acumulado en lo que va de año	2017M08	10.249.765
04 Balears, Illes	Acumulado en lo que va de año	2017M07	7.897.567
04 Balears, Illes	Acumulado en lo que va de año	2017M06	5.412.687
04 Balears, Illes	Acumulado en lo que va de año	2017M05	3.311.167
04 Balears, Illes	Acumulado en lo que va de año	2017M04	1.593.814
04 Balears, Illes	Acumulado en lo que va de año	2017M03	595.369
04 Balears, Illes	Acumulado en lo que va de año	2017M02	269.927
04 Balears, Illes	Acumulado en lo que va de año	2017M01	107.156
04 Balears, Illes	Acumulado en lo que va de año	2016M12	12.997.549
04 Balears, Illes	Acumulado en lo que va de año	2016M11	12.896.211
04 Balears, Illes	Acumulado en lo que va de año	2016M10	12.743.545
04 Balears, Illes	Acumulado en lo que va de año	2016M09	11.501.100
04 Balears, Illes	Acumulado en lo que va de año	2016M08	9.639.686
04 Balears, Illes	Acumulado en lo que va de año	2016M07	7.347.261
04 Balears, Illes	Acumulado en lo que va de año	2016M06	4.987.771
04 Balears, Illes	Acumulado en lo que va de año	2016M05	3.042.206
04 Balears, Illes	Acumulado en lo que va de año	2016M04	1.429.375
04 Balears, Illes	Acumulado en lo que va de año	2016M03	659.037
04 Balears, Illes	Acumulado en lo que va de año	2016M02	267.115
04 Balears, Illes	Acumulado en lo que va de año	2016M01	102.379
04 Balears, Illes	Acumulado en lo que va de año	2015M12	""
04 Balears, Illes	Acumulado en lo que va de año	2015M11	""
04 Balears, Illes	Acumulado en lo que va de año	2015M10	""
04 Balears, Illes	Tasa de variación acumulada	2021M09	216,7
04 Balears, Illes	Tasa de variación acumulada	2021M08	163,16
04 Balears, Illes	Tasa de variación acumulada	2021M07	152,04
04 Balears, Illes	Tasa de variación acumulada	2021M06	189,65
04 Balears, Illes	Tasa de variación acumulada	2021M05	47,99
04 Balears, Illes	Tasa de variación acumulada	2021M04	-46,03
04 Balears, Illes	Tasa de variación acumulada	2021M03	-76,8
04 Balears, Illes	Tasa de variación acumulada	2021M02	-90,21
04 Balears, Illes	Tasa de variación acumulada	2021M01	-85,39
04 Balears, Illes	Tasa de variación acumulada	2020M12	-87,42
04 Balears, Illes	Tasa de variación acumulada	2020M11	-87,47
04 Balears, Illes	Tasa de variación acumulada	2020M10	-87,44
04 Balears, Illes	Tasa de variación acumulada	2020M09	-86,87
04 Balears, Illes	Tasa de variación acumulada	2020M08	-85,45
04 Balears, Illes	Tasa de variación acumulada	2020M07	-87,04
04 Balears, Illes	Tasa de variación acumulada	2020M06	-92,18
04 Balears, Illes	Tasa de variación acumulada	2020M05	-88,34
04 Balears, Illes	Tasa de variación acumulada	2020M04	-77,16
04 Balears, Illes	Tasa de variación acumulada	2020M03	-41,47
04 Balears, Illes	Tasa de variación acumulada	2020M02	-11,32
04 Balears, Illes	Tasa de variación acumulada	2020M01	-26,88
04 Balears, Illes	Tasa de variación acumulada	2019M12	-1,24
04 Balears, Illes	Tasa de variación acumulada	2019M11	-0,83
04 Balears, Illes	Tasa de variación acumulada	2019M10	-0,8
04 Balears, Illes	Tasa de variación acumulada	2019M09	-0,4
04 Balears, Illes	Tasa de variación acumulada	2019M08	-0,23
04 Balears, Illes	Tasa de variación acumulada	2019M07	0,22
04 Balears, Illes	Tasa de variación acumulada	2019M06	1,89
04 Balears, Illes	Tasa de variación acumulada	2019M05	4,79
04 Balears, Illes	Tasa de variación acumulada	2019M04	10,32
04 Balears, Illes	Tasa de variación acumulada	2019M03	2,22
04 Balears, Illes	Tasa de variación acumulada	2019M02	18,32
04 Balears, Illes	Tasa de variación acumulada	2019M01	18,83
04 Balears, Illes	Tasa de variación acumulada	2018M12	0,43
04 Balears, Illes	Tasa de variación acumulada	2018M11	-0,18
04 Balears, Illes	Tasa de variación acumulada	2018M10	-0,26
04 Balears, Illes	Tasa de variación acumulada	2018M09	-0,51
04 Balears, Illes	Tasa de variación acumulada	2018M08	-0,83
04 Balears, Illes	Tasa de variación acumulada	2018M07	-0,39
04 Balears, Illes	Tasa de variación acumulada	2018M06	0,45
04 Balears, Illes	Tasa de variación acumulada	2018M05	0,14
04 Balears, Illes	Tasa de variación acumulada	2018M04	0,87
04 Balears, Illes	Tasa de variación acumulada	2018M03	13,72
04 Balears, Illes	Tasa de variación acumulada	2018M02	2,16
04 Balears, Illes	Tasa de variación acumulada	2018M01	11,46
04 Balears, Illes	Tasa de variación acumulada	2017M12	6,11
04 Balears, Illes	Tasa de variación acumulada	2017M11	6,18
04 Balears, Illes	Tasa de variación acumulada	2017M10	6,06
04 Balears, Illes	Tasa de variación acumulada	2017M09	6,59
04 Balears, Illes	Tasa de variación acumulada	2017M08	6,33
04 Balears, Illes	Tasa de variación acumulada	2017M07	7,49
04 Balears, Illes	Tasa de variación acumulada	2017M06	8,52
04 Balears, Illes	Tasa de variación acumulada	2017M05	8,84
04 Balears, Illes	Tasa de variación acumulada	2017M04	11,5
04 Balears, Illes	Tasa de variación acumulada	2017M03	-9,66
04 Balears, Illes	Tasa de variación acumulada	2017M02	1,05
04 Balears, Illes	Tasa de variación acumulada	2017M01	4,67
04 Balears, Illes	Tasa de variación acumulada	2016M12	11,49
04 Balears, Illes	Tasa de variación acumulada	2016M11	11,54
04 Balears, Illes	Tasa de variación acumulada	2016M10	11,43
04 Balears, Illes	Tasa de variación acumulada	2016M09	10,11
04 Balears, Illes	Tasa de variación acumulada	2016M08	10,3
04 Balears, Illes	Tasa de variación acumulada	2016M07	12,96
04 Balears, Illes	Tasa de variación acumulada	2016M06	13,27
04 Balears, Illes	Tasa de variación acumulada	2016M05	14,02
04 Balears, Illes	Tasa de variación acumulada	2016M04	19,23
04 Balears, Illes	Tasa de variación acumulada	2016M03	31,41
04 Balears, Illes	Tasa de variación acumulada	2016M02	17,16
04 Balears, Illes	Tasa de variación acumulada	2016M01	-3,68
04 Balears, Illes	Tasa de variación acumulada	2015M12	""
04 Balears, Illes	Tasa de variación acumulada	2015M11	""
04 Balears, Illes	Tasa de variación acumulada	2015M10	""
05 Canarias	Dato base	2021M09	611.161
05 Canarias	Dato base	2021M08	569.207
05 Canarias	Dato base	2021M07	414.244
05 Canarias	Dato base	2021M06	221.335
05 Canarias	Dato base	2021M05	161.411
05 Canarias	Dato base	2021M04	109.468
05 Canarias	Dato base	2021M03	100.524
05 Canarias	Dato base	2021M02	74.280
05 Canarias	Dato base	2021M01	86.569
05 Canarias	Dato base	2020M12	207.064
05 Canarias	Dato base	2020M11	160.665
05 Canarias	Dato base	2020M10	136.911
05 Canarias	Dato base	2020M09	92.548
05 Canarias	Dato base	2020M08	240.666
05 Canarias	Dato base	2020M07	215.600
05 Canarias	Dato base	2020M06	2.826
05 Canarias	Dato base	2020M05	0
05 Canarias	Dato base	2020M04	0
05 Canarias	Dato base	2020M03	459.546
05 Canarias	Dato base	2020M02	1.170.238
05 Canarias	Dato base	2020M01	1.101.164
05 Canarias	Dato base	2019M12	1.200.768
05 Canarias	Dato base	2019M11	1.173.313
05 Canarias	Dato base	2019M10	1.143.699
05 Canarias	Dato base	2019M09	952.069
05 Canarias	Dato base	2019M08	1.040.312
05 Canarias	Dato base	2019M07	1.031.598
05 Canarias	Dato base	2019M06	931.782
05 Canarias	Dato base	2019M05	888.777
05 Canarias	Dato base	2019M04	1.105.470
05 Canarias	Dato base	2019M03	1.340.619
05 Canarias	Dato base	2019M02	1.179.673
05 Canarias	Dato base	2019M01	1.158.782
05 Canarias	Dato base	2018M12	1.256.190
05 Canarias	Dato base	2018M11	1.184.564
05 Canarias	Dato base	2018M10	1.257.744
05 Canarias	Dato base	2018M09	1.039.221
05 Canarias	Dato base	2018M08	1.098.384
05 Canarias	Dato base	2018M07	1.120.219
05 Canarias	Dato base	2018M06	1.001.434
05 Canarias	Dato base	2018M05	967.209
05 Canarias	Dato base	2018M04	1.103.003
05 Canarias	Dato base	2018M03	1.347.702
05 Canarias	Dato base	2018M02	1.192.866
05 Canarias	Dato base	2018M01	1.183.486
05 Canarias	Dato base	2017M12	1.256.370
05 Canarias	Dato base	2017M11	1.239.853
05 Canarias	Dato base	2017M10	1.309.652
05 Canarias	Dato base	2017M09	1.111.400
05 Canarias	Dato base	2017M08	1.165.967
05 Canarias	Dato base	2017M07	1.186.481
05 Canarias	Dato base	2017M06	1.034.652
05 Canarias	Dato base	2017M05	993.431
05 Canarias	Dato base	2017M04	1.255.062
05 Canarias	Dato base	2017M03	1.283.939
05 Canarias	Dato base	2017M02	1.183.979
05 Canarias	Dato base	2017M01	1.193.435
05 Canarias	Dato base	2016M12	1.250.412
05 Canarias	Dato base	2016M11	1.162.023
05 Canarias	Dato base	2016M10	1.270.466
05 Canarias	Dato base	2016M09	994.235
05 Canarias	Dato base	2016M08	1.111.644
05 Canarias	Dato base	2016M07	1.140.679
05 Canarias	Dato base	2016M06	936.941
05 Canarias	Dato base	2016M05	899.045
05 Canarias	Dato base	2016M04	1.064.849
05 Canarias	Dato base	2016M03	1.206.148
05 Canarias	Dato base	2016M02	1.114.746
05 Canarias	Dato base	2016M01	1.108.379
05 Canarias	Dato base	2015M12	1.054.142
05 Canarias	Dato base	2015M11	1.103.158
05 Canarias	Dato base	2015M10	1.094.268
05 Canarias	Tasa de variación anual	2021M09	560,37
05 Canarias	Tasa de variación anual	2021M08	136,51
05 Canarias	Tasa de variación anual	2021M07	92,14
05 Canarias	Tasa de variación anual	2021M06	7.731,83
05 Canarias	Tasa de variación anual	2021M05	..
05 Canarias	Tasa de variación anual	2021M04	..
05 Canarias	Tasa de variación anual	2021M03	-78,13
05 Canarias	Tasa de variación anual	2021M02	-93,65
05 Canarias	Tasa de variación anual	2021M01	-92,14
05 Canarias	Tasa de variación anual	2020M12	-82,76
05 Canarias	Tasa de variación anual	2020M11	-86,31
05 Canarias	Tasa de variación anual	2020M10	-88,03
05 Canarias	Tasa de variación anual	2020M09	-90,28
05 Canarias	Tasa de variación anual	2020M08	-76,87
05 Canarias	Tasa de variación anual	2020M07	-79,1
05 Canarias	Tasa de variación anual	2020M06	-99,7
05 Canarias	Tasa de variación anual	2020M05	-100
05 Canarias	Tasa de variación anual	2020M04	-100
05 Canarias	Tasa de variación anual	2020M03	-65,72
05 Canarias	Tasa de variación anual	2020M02	-0,8
05 Canarias	Tasa de variación anual	2020M01	-4,97
05 Canarias	Tasa de variación anual	2019M12	-4,41
05 Canarias	Tasa de variación anual	2019M11	-0,95
05 Canarias	Tasa de variación anual	2019M10	-9,07
05 Canarias	Tasa de variación anual	2019M09	-8,39
05 Canarias	Tasa de variación anual	2019M08	-5,29
05 Canarias	Tasa de variación anual	2019M07	-7,91
05 Canarias	Tasa de variación anual	2019M06	-6,96
05 Canarias	Tasa de variación anual	2019M05	-8,11
05 Canarias	Tasa de variación anual	2019M04	0,22
05 Canarias	Tasa de variación anual	2019M03	-0,53
05 Canarias	Tasa de variación anual	2019M02	-1,11
05 Canarias	Tasa de variación anual	2019M01	-2,09
05 Canarias	Tasa de variación anual	2018M12	-0,01
05 Canarias	Tasa de variación anual	2018M11	-4,46
05 Canarias	Tasa de variación anual	2018M10	-3,96
05 Canarias	Tasa de variación anual	2018M09	-6,49
05 Canarias	Tasa de variación anual	2018M08	-5,8
05 Canarias	Tasa de variación anual	2018M07	-5,58
05 Canarias	Tasa de variación anual	2018M06	-3,21
05 Canarias	Tasa de variación anual	2018M05	-2,64
05 Canarias	Tasa de variación anual	2018M04	-12,12
05 Canarias	Tasa de variación anual	2018M03	4,97
05 Canarias	Tasa de variación anual	2018M02	0,75
05 Canarias	Tasa de variación anual	2018M01	-0,83
05 Canarias	Tasa de variación anual	2017M12	0,48
05 Canarias	Tasa de variación anual	2017M11	6,7
05 Canarias	Tasa de variación anual	2017M10	3,08
05 Canarias	Tasa de variación anual	2017M09	11,78
05 Canarias	Tasa de variación anual	2017M08	4,89
05 Canarias	Tasa de variación anual	2017M07	4,02
05 Canarias	Tasa de variación anual	2017M06	10,43
05 Canarias	Tasa de variación anual	2017M05	10,5
05 Canarias	Tasa de variación anual	2017M04	17,86
05 Canarias	Tasa de variación anual	2017M03	6,45
05 Canarias	Tasa de variación anual	2017M02	6,21
05 Canarias	Tasa de variación anual	2017M01	7,67
05 Canarias	Tasa de variación anual	2016M12	18,62
05 Canarias	Tasa de variación anual	2016M11	5,34
05 Canarias	Tasa de variación anual	2016M10	16,1
05 Canarias	Tasa de variación anual	2016M09	14,03
05 Canarias	Tasa de variación anual	2016M08	9,15
05 Canarias	Tasa de variación anual	2016M07	22,08
05 Canarias	Tasa de variación anual	2016M06	18,74
05 Canarias	Tasa de variación anual	2016M05	10,37
05 Canarias	Tasa de variación anual	2016M04	16,68
05 Canarias	Tasa de variación anual	2016M03	13,5
05 Canarias	Tasa de variación anual	2016M02	12,39
05 Canarias	Tasa de variación anual	2016M01	6,9
05 Canarias	Tasa de variación anual	2015M12	3,73
05 Canarias	Tasa de variación anual	2015M11	7,08
05 Canarias	Tasa de variación anual	2015M10	3,46
05 Canarias	Acumulado en lo que va de año	2021M09	2.348.199
05 Canarias	Acumulado en lo que va de año	2021M08	1.737.038
05 Canarias	Acumulado en lo que va de año	2021M07	1.167.831
05 Canarias	Acumulado en lo que va de año	2021M06	753.587
05 Canarias	Acumulado en lo que va de año	2021M05	532.252
05 Canarias	Acumulado en lo que va de año	2021M04	370.841
05 Canarias	Acumulado en lo que va de año	2021M03	261.373
05 Canarias	Acumulado en lo que va de año	2021M02	160.849
05 Canarias	Acumulado en lo que va de año	2021M01	86.569
05 Canarias	Acumulado en lo que va de año	2020M12	3.787.228
05 Canarias	Acumulado en lo que va de año	2020M11	3.580.164
05 Canarias	Acumulado en lo que va de año	2020M10	3.419.499
05 Canarias	Acumulado en lo que va de año	2020M09	3.282.588
05 Canarias	Acumulado en lo que va de año	2020M08	3.190.041
05 Canarias	Acumulado en lo que va de año	2020M07	2.949.374
05 Canarias	Acumulado en lo que va de año	2020M06	2.733.774
05 Canarias	Acumulado en lo que va de año	2020M05	2.730.948
05 Canarias	Acumulado en lo que va de año	2020M04	2.730.948
05 Canarias	Acumulado en lo que va de año	2020M03	2.730.948
05 Canarias	Acumulado en lo que va de año	2020M02	2.271.403
05 Canarias	Acumulado en lo que va de año	2020M01	1.101.164
05 Canarias	Acumulado en lo que va de año	2019M12	13.146.863
05 Canarias	Acumulado en lo que va de año	2019M11	11.946.095
05 Canarias	Acumulado en lo que va de año	2019M10	10.772.782
05 Canarias	Acumulado en lo que va de año	2019M09	9.629.083
05 Canarias	Acumulado en lo que va de año	2019M08	8.677.014
05 Canarias	Acumulado en lo que va de año	2019M07	7.636.702
05 Canarias	Acumulado en lo que va de año	2019M06	6.605.105
05 Canarias	Acumulado en lo que va de año	2019M05	5.673.322
05 Canarias	Acumulado en lo que va de año	2019M04	4.784.545
05 Canarias	Acumulado en lo que va de año	2019M03	3.679.075
05 Canarias	Acumulado en lo que va de año	2019M02	2.338.455
05 Canarias	Acumulado en lo que va de año	2019M01	1.158.782
05 Canarias	Acumulado en lo que va de año	2018M12	13.752.022
05 Canarias	Acumulado en lo que va de año	2018M11	12.495.832
05 Canarias	Acumulado en lo que va de año	2018M10	11.311.268
05 Canarias	Acumulado en lo que va de año	2018M09	10.053.523
05 Canarias	Acumulado en lo que va de año	2018M08	9.014.302
05 Canarias	Acumulado en lo que va de año	2018M07	7.915.918
05 Canarias	Acumulado en lo que va de año	2018M06	6.795.699
05 Canarias	Acumulado en lo que va de año	2018M05	5.794.265
05 Canarias	Acumulado en lo que va de año	2018M04	4.827.056
05 Canarias	Acumulado en lo que va de año	2018M03	3.724.054
